mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,mean_test_RMSE,std_test_RMSE,mean_train_RMSE
0.0711453914642334,0.003474045307036447,0.0016971111297607421,4.10732039156684e-05,10,10,"{'model__max_depth': 10, 'model__min_samples_split': 10}",-0.6491085046203243,-0.6407438019642024,-0.6293925265265908,-0.6346846448211539,-0.6335489205377549,-0.6374956796940052,0.006849057120507886,1,-0.4661637752062781,-0.47164331302311985,-0.45757394398350937,-0.4571073015771191,-0.46414654724942156,-0.46332697620788965,0.005471056855144852,0.6374956796940052,0.006849057120507886,0.46332697620788965
0.07282357215881348,0.003432961445006785,0.0016418933868408204,0.0001198623507327545,10,5,"{'model__max_depth': 10, 'model__min_samples_split': 5}",-0.6570257930238018,-0.6457562569343032,-0.6191273826006567,-0.6408570074000094,-0.6313305843462724,-0.6388194048610087,0.01286547693738665,2,-0.4570869220150669,-0.45980108714539886,-0.4469100145751295,-0.44801686278545744,-0.4570030825459665,-0.45376359381340386,0.005253314938229393,0.6388194048610087,0.01286547693738665,0.45376359381340386
0.07507901191711426,0.0039046236810841555,0.001696300506591797,4.794274546409609e-05,10,2,"{'model__max_depth': 10, 'model__min_samples_split': 2}",-0.6550384425652033,-0.6449905995302355,-0.6301315216176133,-0.6436889697058685,-0.642243552763005,-0.6432186172363851,0.007940935032616293,3,-0.4525904954311774,-0.45551550764635834,-0.44271734740445445,-0.4432725745782721,-0.4528078731746423,-0.4493807596469809,0.005317774562712203,0.6432186172363851,0.007940935032616293,0.4493807596469809
0.05735135078430176,0.0020656793730684125,0.0017207145690917968,0.00018875437341075448,7,2,"{'model__max_depth': 7, 'model__min_samples_split': 2}",-0.6769405582556026,-0.6512614710193877,-0.6507145426129181,-0.6389622992917958,-0.6460593611315883,-0.6527876464622586,0.012856128243171543,4,-0.6134104292321273,-0.6086821976233174,-0.5920567007133436,-0.5959992965605287,-0.5950471148487466,-0.6010391477956128,0.00840777889747463,0.6527876464622586,0.012856128243171543,0.6010391477956128
0.05883793830871582,0.00469510146094543,0.0018049716949462891,0.0002257855716227997,7,10,"{'model__max_depth': 7, 'model__min_samples_split': 10}",-0.6789712399563181,-0.6501372002017992,-0.6549120358823184,-0.6379462100272288,-0.6455857864137354,-0.65351049449628,0.013904250726032684,5,-0.6140975632569583,-0.6103527586260852,-0.593160489615411,-0.5979763068157529,-0.5966891119471348,-0.6024552460522684,0.008217249554096523,0.65351049449628,0.013904250726032684,0.6024552460522684
0.053713417053222655,0.001067579313775594,0.0015163421630859375,7.191852078300206e-05,7,5,"{'model__max_depth': 7, 'model__min_samples_split': 5}",-0.6803289112234862,-0.6510599749608283,-0.651956053822893,-0.6384620390130632,-0.6459780844750665,-0.6535570126990674,0.014218517510604841,6,-0.6136204241658243,-0.6088704453184938,-0.5924815418889088,-0.596240763604535,-0.5951984760498705,-0.6012823302055265,0.00836292536991954,0.6535570126990674,0.014218517510604841,0.6012823302055265
0.042426681518554686,0.002703190436962883,0.0014312744140625,9.031393962999081e-05,5,2,"{'model__max_depth': 5, 'model__min_samples_split': 2}",-0.7379557573940237,-0.7005663506479523,-0.6998285076438224,-0.7166818315736638,-0.7084484053932637,-0.7126961705305451,0.014033424455037661,7,-0.6969655702622897,-0.6980989438089585,-0.685901735541343,-0.6897270625096241,-0.6871858696491653,-0.6915758363542761,0.005029619367318033,0.7126961705305451,0.014033424455037661,0.6915758363542761
0.04226055145263672,0.0020256449808454184,0.0016002655029296875,0.0002364841664888259,5,5,"{'model__max_depth': 5, 'model__min_samples_split': 5}",-0.7379557573940237,-0.7005663506479523,-0.6998285076438224,-0.7166818315736638,-0.7084484053932637,-0.7126961705305451,0.014033424455037661,7,-0.6969655702622897,-0.6980989438089585,-0.685901735541343,-0.6897270625096241,-0.6871858696491653,-0.6915758363542761,0.005029619367318033,0.7126961705305451,0.014033424455037661,0.6915758363542761
0.04108033180236816,0.0009614177879319486,0.002286863327026367,0.0015361184117153883,5,10,"{'model__max_depth': 5, 'model__min_samples_split': 10}",-0.7367042942132708,-0.6999135529517408,-0.7018638133351489,-0.7166818315736638,-0.7084484053932637,-0.7127223794934177,0.013349538159825033,9,-0.6973856883932493,-0.699020888531848,-0.6862918673242211,-0.6897270625096241,-0.6871858696491653,-0.6919222752816216,0.00527623320373273,0.7127223794934177,0.013349538159825033,0.6919222752816216
0.029397249221801758,0.001245571084348314,0.0019535064697265626,0.0006983027204526832,3,5,"{'model__max_depth': 3, 'model__min_samples_split': 5}",-0.8084072409043255,-0.7751906704362997,-0.7916411093489134,-0.7953579579420754,-0.8077249605327645,-0.7956643878328757,0.012192550933436429,10,-0.7810232274988896,-0.7893230390182985,-0.7840235354208261,-0.7869887359476406,-0.7826727460658679,-0.7848062567903046,0.0029879882309191167,0.7956643878328757,0.012192550933436429,0.7848062567903046
0.029234695434570312,0.0028369558645657098,0.0014638900756835938,0.0002152305813310514,3,10,"{'model__max_depth': 3, 'model__min_samples_split': 10}",-0.8084072409043255,-0.7751906704362997,-0.7916411093489134,-0.7953579579420754,-0.8077249605327645,-0.7956643878328757,0.012192550933436429,10,-0.7810232274988896,-0.7893230390182985,-0.7840235354208261,-0.7869887359476406,-0.7826727460658679,-0.7848062567903046,0.0029879882309191167,0.7956643878328757,0.012192550933436429,0.7848062567903046
