Model,RMSE,R2 Score,Overfit Gap
Linear Regression,0.7455813830127761,0.5757877060324511,
Ridge Regression,0.7455567442814778,0.5758157428913686,
Tuned Decision Tree,0.6453626634464059,0.6821656640892819,0.1650096342821884
